state,yr,hcci_hl_cat,spend_pm,oop_pm,adj_price,adj_util_1k,price,util_1k,case_mix_index,spend_annual,oop_annual,util_annual,adj_util_annual,price_annual,adj_price_annual,case_mix_annual,spend_cmltv,oop_cmltv,util_cmltv,adj_util_cmltv,price_cmltv,adj_price_cmltv,case_mix_cmltv
KY,2017,Total,5566.416382,1025.368858,,,,,,0.06787882,0.060484573,0.024929687,0.025558364,0.041685914,0.041039421,0.00065868,0.12143451,0.25683448,-0.037285361,-0.013918233,0.173046064,0.140083374,0.027949137
LA,2013,Total,4958.033203,940.2781601,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
LA,2014,Total,5125.803162,948.8172913,,,,,,0.033838008,0.009081495,0.002691401,0.007033952,0.031664575,0.027275672,0.004422378,0.033838008,0.009081495,0.002691401,0.007033952,0.031664575,0.027275672,0.004422378
LA,2015,Total,5306.26886,952.5489426,,,,,,0.035207301,0.003932951,-0.003020454,0.000395295,0.038909454,0.035179731,0.003648938,0.070236653,0.013050162,-0.000120425,0.007500196,0.07243479,0.064106719,0.008193835
LA,2016,Total,5425.120972,985.4172211,,,,,,0.022398435,0.034505606,0.000739013,0.008054415,0.022245302,0.014676436,0.00751597,0.094208278,0.048006073,0.00095968,0.015932452,0.096472069,0.079831837,0.01600932
LA,2017,Total,5576.525757,1012.962799,,,,,,0.027908094,0.027953213,-0.003947885,-0.002663363,0.032605205,0.031165706,0.001507491,0.12474555,0.077301212,-0.002887346,0.013194828,0.13102795,0.112599495,0.017897569
MA,2013,Total,4475.287598,683.5942307,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
MA,2014,Total,4696.412781,740.7290382,,,,,,0.049410272,0.083580002,-0.016898737,-0.007905797,0.069013746,0.059447318,0.009300797,0.049410272,0.083580002,-0.016898737,-0.007905797,0.069013746,0.059447318,0.009300797
MA,2015,Total,4799.704346,778.0233955,,,,,,0.021993715,0.050348178,-0.011539283,-0.000602463,0.03404863,0.022861216,0.011030257,0.072490707,0.13813628,-0.028083301,-0.008637868,0.105722038,0.084314459,0.020371153
MA,2016,Total,5108.073608,830.4701347,,,,,,0.064247556,0.067410231,0.014787715,0.029846527,0.048287606,0.033161202,0.014842185,0.14139561,0.21485831,-0.013736463,0.021038534,0.160240293,0.122149592,0.035628687
MA,2017,Total,5426.465393,864.9545097,,,,,,0.062331088,0.041523919,0.009577206,0.016383056,0.052155723,0.045213111,0.006715782,0.21254003,0.265304,-0.004210372,0.037279824,0.220483229,0.172691051,0.04231315
MD,2013,Total,4289.899658,633.593338,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
MD,2014,Total,4391.691589,658.2639694,,,,,,0.023728278,0.038937643,-0.019754461,-0.019698458,0.045119849,0.045065574,9.73797E-05,0.023728278,0.038937643,-0.019754461,-0.019698458,0.045119849,0.045065574,9.73797E-05
MD,2015,Total,4500.430176,677.9138832,,,,,,0.024760069,0.029851116,-0.011389699,-0.012542086,0.037125368,0.038219008,-0.001176441,0.049075861,0.069951087,-0.030732475,-0.031916557,0.08433982,0.085416706,-0.001057887
MD,2016,Total,4663.75116,709.1358871,,,,,,0.036290083,0.046056002,-0.001280706,0.008094596,0.037676091,0.027954515,0.009422215,0.087146908,0.11922877,-0.031998747,-0.024075912,0.125296026,0.116089844,0.008403255
MD,2017,Total,4919.143188,716.8562241,,,,,,0.054761074,0.010886964,0.005438645,0.010400031,0.049110084,0.043756749,0.005202335,0.14668025,0.13141376,-0.026197466,-0.013603443,0.179987194,0.164571367,0.013664175
ME,2013,Total,5096.324097,848.1870842,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
ME,2014,Total,5355.711792,871.2264519,,,,,,0.050897017,0.027163073,-0.019729014,0.006797128,0.073146084,0.044921315,0.027456149,0.050897017,0.027163073,-0.019729014,0.006797128,0.073146084,0.044921315,0.027456149
ME,2015,Total,5602.692932,876.5202637,,,,,,0.046115465,0.006076275,-0.009961636,-0.008086071,0.056839387,0.055334007,0.001711502,0.099359624,0.033404399,-0.029431377,-0.001675729,0.13456648,0.10322726,0.029109858
ME,2016,Total,6036.305054,922.8178749,,,,,,0.077393517,0.052819785,0.02084093,0.035675334,0.055491433,0.040691782,0.014384875,0.18444294,0.087988593,-0.009611556,0.033432815,0.198425014,0.149588667,0.044093746
ME,2017,Total,5993.192017,998.1793785,,,,,,-0.00714229,0.081664547,-0.046839474,-0.038170828,0.042451016,0.033226242,0.009041764,0.17598329,0.1768387,-0.055870826,-0.006383468,0.248420306,0.186121948,0.053415799
MI,2013,Total,4318.121338,738.9861717,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
MI,2014,Total,4380.958862,756.3974113,,,,,,0.014552051,0.023560982,-0.01770955,-0.020079257,0.033598065,0.036411282,-0.002287733,0.014552051,0.023560982,-0.01770955,-0.020079257,0.033598065,0.036411282,-0.002287733
MI,2015,Total,4533.513062,783.5263481,,,,,,0.034822103,0.035865985,-0.010177245,-0.005858799,0.045674725,0.041126457,0.004515957,0.049880888,0.060272001,-0.027639897,-0.02570339,0.081067848,0.079423804,0.002575797
MI,2016,Total,4722.80957,845.6030502,,,,,,0.041754927,0.079227328,0.00890072,0.018624784,0.032201305,0.022405327,0.009657169,0.093718588,0.14427452,-0.018799654,-0.007368036,0.116263837,0.104710699,0.012454344
MI,2017,Total,4961.239502,877.8031425,,,,,,0.050484765,0.038079441,0.008604481,0.014016861,0.041346915,0.035687883,0.005558016,0.14893471,0.18784785,-0.009823192,0.006761145,0.161889391,0.144288051,0.018149822
MN,2013,Total,5192.434875,810.6662445,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
MN,2014,Total,5185.847595,803.4651375,,,,,,-0.00126863,-0.008882949,-0.054899015,-0.039878419,0.057535971,0.040871387,0.01594636,-0.00126863,-0.008882949,-0.054899015,-0.039878419,0.057535971,0.040871387,0.01594636
MN,2015,Total,5165.273926,803.2946663,,,,,,-0.003967272,-0.00021217,-0.036845981,-0.035684105,0.035423321,0.034464502,0.000976335,-0.00523087,-0.009093234,-0.089116253,-0.073198155,0.09485733,0.076872106,0.016841999
MN,2016,Total,5437.326721,835.472065,,,,,,0.052669577,0.04005678,-0.002907106,0.011441322,0.056086741,0.041332462,0.014430987,0.0471632,0.030599302,-0.090980721,-0.061407712,0.156368285,0.12172471,0.031674837
MN,2017,Total,5987.65094,914.9593163,,,,,,0.10121228,0.095140524,0.048600071,0.061657417,0.051917112,0.038649096,0.012846979,0.15314898,0.12865105,-0.050940784,-0.009145827,0.21676451,0.165592909,0.044722674
